Time, Mask, Bat, Sts1, Sts2, Seq #,T1FX,T1FY,T1FZ,T1TX,T1TY,T1TZ
2078045328,  1, 5,    10882,        0, 29208, -8819459, -949846, -11761245, -24830, 582879, -78700
2078045345,  1, 5,    10882,        0, 29209, -8824604, -928400, -11813086, -25011, 582551, -78525
2078045362,  1, 5,    10882,        0, 29210, -8817580, -958028, -11803018, -25214, 582680, -78311
2078045378,  1, 5,    10882,        0, 29211, -8816672, -932806, -11822818, -25201, 582588, -78645
2078045395,  1, 5,    10882,        0, 29212, -8847186, -959336, -11822235, -25245, 583075, -78660
2078045412,  1, 5,    10882,        0, 29213, -8804052, -958863, -11802281, -25042, 582871, -78631
2078045429,  1, 5,    10882,        0, 29214, -8830344, -934208, -11802634, -25383, 583348, -78328
2078045445,  1, 5,    10882,        0, 29215, -8832524, -950229, -11791485, -25173, 582971, -78736
2078045462,  1, 5,    10882,        0, 29216, -8825504, -938955, -11823346, -24912, 583226, -78439
2078045479,  1, 5,    10882,        0, 29217, -8825855, -946863, -11791934, -24974, 583216, -78629
2078045496,  1, 5,    10882,        0, 29218, -8824353, -937600, -11834538, -25069, 582745, -78120
2078045513,  1, 5,    10882,        0, 29219, -8818368, -958639, -11813369, -25050, 582785, -78318
2078045529,  1, 5,    10882,        0, 29220, -8816923, -966818, -11761878, -25443, 583139, -78186
2078045546,  1, 5,    10882,        0, 29221, -8811195, -945801, -11771691, -24959, 582920, -78604
2078045563,  1, 5,    10882,        0, 29222, -8803296, -958591, -11781606, -25208, 582955, -78619
2078045580,  1, 5,    10882,        0, 29223, -8830942, -942385, -11811350, -25446, 583153, -78869
2078045597,  1, 5,    10882,        0, 29224, -8824977, -970927, -11769989, -25485, 582996, -78941
2078045613,  1, 5,    10882,        0, 29225, -8801018, -941553, -11823727, -25412, 582765, -78225
2078045630,  1, 5,    10882,        0, 29226, -8818903, -940578, -11760140, -24936, 582586, -79123
2078045647,  1, 5,    10882,        0, 29227, -8832648, -933939, -11803262, -24885, 583084, -78312
2078045664,  1, 5,    10882,        0, 29228, -8825022, -953077, -11782039, -25191, 582536, -78505
2078045680,  1, 5,    10882,        0, 29229, -8834277, -943003, -11793448, -24616, 583285, -78195
2078045697,  1, 5,    10882,        0, 29230, -8825035, -945913, -11791907, -25136, 582922, -78626
2078045714,  1, 5,    10882,        0, 29231, -8825823, -946524, -11802258, -24972, 583027, -78633
2078045731,  1, 5,    10882,        0, 29232, -8810169, -955272, -11803167, -25183, 583204, -78214
2078045748,  1, 5,    10882,        0, 29233, -8794576, -962386, -11780987, -25563, 582888, -78732
2078045764,  1, 5,    10882,        0, 29234, -8816770, -933823, -11791846, -25207, 583155, -78631
2078045781,  1, 5,    10882,        0, 29235, -8823233, -947609, -11822900, -25469, 583488, -78350
2078045798,  1, 5,    10882,        0, 29236, -8823232, -939563, -11812394, -25412, 583679, -78451
2078045815,  1, 5,    10882,        0, 29237, -8825936, -964514, -11812674, -25094, 583406, -78440
2078045832,  1, 5,    10882,        0, 29238, -8797031, -939544, -11823635, -24724, 583318, -78434
2078045848,  1, 5,    10882,        0, 29239, -8837867, -946908, -11802395, -25480, 583394, -78333
2078045865,  1, 5,    10882,        0, 29240, -8815637, -931925, -11772340, -25364, 582668, -78287
2078045882,  1, 5,    10882,        0, 29241, -8822399, -945777, -11802499, -25629, 582999, -78327
2078045899,  1, 5,    10882,        0, 29242, -8824027, -946796, -11782178, -25303, 583392, -78311
2078045915,  1, 5,    10882,        0, 29243, -8825206, -938889, -11824241, -24909, 583228, -78118
2078045932,  1, 5,    10882,        0, 29244, -8840775, -953392, -11760665, -25043, 582734, -78810
2078045949,  1, 5,    10882,        0, 29245, -8832695, -943205, -11823819, -24946, 583276, -78228
2078045966,  1, 5,    10882,        0, 29246, -8846032, -941890, -11812415, -25288, 582977, -78542
2078045983,  1, 5,    10882,        0, 29247, -8825068, -954298, -11792090, -25195, 582920, -78521
2078045999,  1, 5,    10882,        0, 29248, -8819107, -933893, -11782150, -24711, 583080, -78610
2078046016,  1, 5,    10882,        0, 29249, -8831716, -942115, -11801326, -25280, 583063, -78855
2078046033,  1, 5,    10882,        0, 29250, -8823538, -954296, -11781438, -25527, 583094, -78524
2078046050,  1, 5,    10882,        0, 29251, -8823439, -937188, -11791397, -25407, 582910, -78738
2078046067,  1, 5,    10882,        0, 29252, -8815982, -933212, -11781495, -25371, 583050, -78624
2078046083,  1, 5,    10882,        0, 29253, -8824782, -947068, -11802853, -25137, 583308, -78322
2078046100,  1, 5,    10882,        0, 29254, -8818088, -958030, -11783566, -25047, 582780, -77972
2078046117,  1, 5,    10882,        0, 29255, -8809393, -947497, -11802684, -25292, 583486, -78328
2078046134,  1, 5,    10882,        0, 29256, -8824750, -946729, -11813177, -25135, 583119, -78327
2078046151,  1, 5,    10882,        0, 29257, -8802992, -959949, -11833574, -25207, 583158, -78345
2078046167,  1, 5,    10882,        0, 29258, -8823643, -938549, -11823914, -25239, 583213, -78125
2078046184,  1, 5,    10882,        0, 29259, -8825036, -953959, -11802414, -25193, 582731, -78526
2078046201,  1, 5,    10882,        0, 29260, -8825491, -938074, -11802971, -24910, 583031, -78418
2078046218,  1, 5,    10882,        0, 29261, -8824451, -946663, -11814073, -25132, 583120, -78006
2078046234,  1, 5,    10882,        0, 29262, -8809800, -955952, -11875783, -25178, 583029, -77949
2078046251,  1, 5,    10882,        0, 29263, -8816103, -942482, -11875865, -25256, 582790, -77945
2078046268,  1, 5,    10882,        0, 29264, -8823896, -937394, -11812968, -25238, 582827, -78429
2078046285,  1, 5,    10882,        0, 29265, -8818242, -958838, -11780579, -25224, 583055, -78943
2078046302,  1, 5,    10882,        0, 29266, -8832541, -933595, -11739774, -25059, 583348, -78911
2078046318,  1, 5,    10882,        0, 29267, -8815717, -941530, -11782573, -25427, 583049, -78199
2078046335,  1, 5,    10882,        0, 29268, -8831748, -934408, -11780496, -25225, 583444, -78951
2078046352,  1, 5,    10882,        0, 29269, -8832516, -916492, -11823545, -24763, 582711, -78531
2078046369,  1, 5,    10882,        0, 29270, -8832220, -951587, -11843454, -25172, 583173, -78462
2078046386,  1, 5,    10882,        0, 29271, -8817526, -942140, -11823028, -25098, 582880, -78542
2078046402,  1, 5,    10882,        0, 29272, -8831465, -951315, -11822779, -25338, 583257, -78450
2078046419,  1, 5,    10882,        0, 29273, -8839093, -948267, -11865015, -25147, 583422, -78056
2078046436,  1, 5,    10882,        0, 29274, -8825447, -972014, -11811934, -25318, 583108, -78653
2078046453,  1, 5,    10882,        0, 29275, -8809249, -937214, -11813099, -25225, 582726, -78426
2078046469,  1, 5,    10882,        0, 29276, -8816049, -949981, -11781860, -25489, 583045, -78414
2078046486,  1, 5,    10882,        0, 29277, -8824783, -955113, -11813360, -25194, 583116, -78222
2078046503,  1, 5,    10882,        0, 29278, -8804840, -959474, -11812632, -24878, 582976, -78638
2078046520,  1, 5,    10882,        0, 29279, -8809376, -964130, -11854395, -25406, 583109, -78153
2078046537,  1, 5,    10882,        0, 29280, -8824226, -929754, -11791242, -25186, 583206, -78846
2078046553,  1, 5,    10882,        0, 29281, -8802946, -958729, -11823524, -25203, 582774, -78329
2078046570,  1, 5,    10882,        0, 29282, -8839020, -964354, -11812215, -25437, 583492, -78450
2078046587,  1, 5,    10882,        0, 29283, -8817982, -934301, -11834092, -24872, 582989, -78334
2078046604,  1, 5,    10882,        0, 29284, -8831432, -950976, -11833103, -25336, 583068, -78455
2078046621,  1, 5,    10882,        0, 29285, -8831782, -950838, -11791185, -25341, 583250, -78745
2078046637,  1, 5,    10882,        0, 29286, -8839065, -938459, -11813759, -25086, 583224, -78115
2078046654,  1, 5,    10882,        0, 29287, -8823974, -938954, -11812694, -25244, 583400, -78441
2078046671,  1, 5,    10882,        0, 29288, -8817943, -958772, -11781475, -25221, 583056, -78623
2078046688,  1, 5,    10882,        0, 29289, -8825101, -954637, -11781766, -25197, 583109, -78517
2078046704,  1, 5,    10882,        0, 29290, -8810155, -954390, -11782792, -25181, 583009, -78193
2078046721,  1, 5,    10882,        0, 29291, -8830742, -951382, -11791780, -25506, 583530, -78434
2078046738,  1, 5,    10882,        0, 29292, -8833312, -950840, -11801836, -25009, 583076, -78743
2078046755,  1, 5,    10882,        0, 29293, -8837835, -954614, -11823225, -25535, 583013, -78237
2078046772,  1, 5,    10882,        0, 29294, -8804066, -967790, -11833162, -25101, 582875, -78551
2078046788,  1, 5,    10882,        0, 29295, -8808170, -970274, -11771583, -25796, 582883, -78303
2078046805,  1, 5,    10882,        0, 29296, -8831148, -959837, -11864879, -25392, 583073, -78055
2078046822,  1, 5,    10882,        0, 29297, -8816976, -951274, -11845376, -25153, 583075, -77817
2078046839,  1, 5,    10882,        0, 29298, -8831166, -951249, -11823674, -25335, 583259, -78130
2078046856,  1, 5,    10882,        0, 29299, -8838545, -953666, -11833850, -25365, 582545, -78232
2078046872,  1, 5,    10882,        0, 29300, -8816870, -958976, -11792394, -25384, 583148, -78316
2078046889,  1, 5,    10882,        0, 29301, -8809408, -956424, -11833565, -25351, 583489, -78249
2078046906,  1, 5,    10882,        0, 29302, -8807402, -945734, -11844548, -25611, 582716, -78033
2078046923,  1, 5,    10882,        0, 29303, -8823962, -946118, -11802826, -25299, 583014, -78320
2078046939,  1, 5,    10882,        0, 29304, -8811666, -954934, -11824142, -24849, 582841, -78216
2078046956,  1, 5,    10882,        0, 29305, -8824029, -962887, -11803191, -25417, 583009, -78110
2078046973,  1, 5,    10882,        0, 29306, -8817150, -959585, -11822197, -25387, 583152, -78662
2078046990,  1, 5,    10882,        0, 29307, -8840019, -953120, -11739990, -25209, 582818, -78799
2078047007,  1, 5,    10882,        0, 29308, -8817932, -973981, -11782113, -25333, 582478, -78401
2078047023,  1, 5,    10882,        0, 29309, -8801839, -942503, -11823754, -25250, 583059, -78228
2078047040,  1, 5,    10882,        0, 29310, -8817342, -968109, -11844845, -25274, 583069, -77928
2078047057,  1, 5,    10882,        0, 29311, -8816367, -957550, -11760773, -25549, 582846, -78609
2078047074,  1, 5,    10882,        0, 29312, -8817592, -950864, -11812886, -25159, 583066, -78433
2078047091,  1, 5,    10882,        0, 29313, -8810088, -937621, -11782427, -25063, 583014, -78403
2078047107,  1, 5,    10882,        0, 29314, -8810421, -954117, -11792221, -25182, 582819, -78518
2078047124,  1, 5,    10882,        0, 29315, -8808807, -953980, -11832916, -25510, 582621, -78555
2078047141,  1, 5,    10882,        0, 29316, -8815275, -958297, -11802390, -25712, 582944, -78328
2078047158,  1, 5,    10882,        0, 29317, -8831738, -965709, -11802147, -25451, 582483, -78528
2078047175,  1, 5,    10882,        0, 29318, -8818780, -984740, -11833396, -25232, 582971, -78345
2078047191,  1, 5,    10882,        0, 29319, -8825082, -955179, -11812464, -25197, 583115, -78542
2078047208,  1, 5,    10882,        0, 29320, -8825242, -982435, -11843437, -25380, 583686, -78265
2078047225,  1, 5,    10882,        0, 29321, -8833677, -959629, -11790799, -25073, 583261, -78954
2078047242,  1, 5,    10882,        0, 29322, -8809362, -955203, -11823514, -25347, 583105, -78232
2078047258,  1, 5,    10882,        0, 29323, -8817991, -976083, -11812538, -25339, 583057, -78438
2078047275,  1, 5,    10882,        0, 29324, -8845727, -966634, -11750369, -25636, 583235, -78506
2078047292,  1, 5,    10882,        0, 29325, -8816049, -949981, -11781860, -25489, 583045, -78414
2078047309,  1, 5,    10882,        0, 29326, -8831894, -941712, -11793094, -25108, 582976, -78200
2078047326,  1, 5,    10882,        0, 29327, -8824547, -961459, -11801674, -25417, 582433, -78739
2078047342,  1, 5,    10882,        0, 29328, -8830597, -941099, -11802195, -25439, 582771, -78532
2078047359,  1, 5,    10882,        0, 29329, -8832274, -967474, -11823444, -25288, 582973, -78231
2078047376,  1, 5,    10882,        0, 29330, -8801415, -950682, -11802366, -25478, 583139, -78432
2078047393,  1, 5,    10882,        0, 29331, -8817612, -958367, -11792694, -25216, 582869, -78307
2078047410,  1, 5,    10882,        0, 29332, -8808860, -961822, -11802400, -25569, 582612, -78424
2078047426,  1, 5,    10882,        0, 29333, -8824327, -962953, -11802296, -25420, 583007, -78430
2078047443,  1, 5,    10882,        0, 29334, -8817607, -959791, -11843767, -25218, 583070, -78353
2078047460,  1, 5,    10882,        0, 29335, -8816347, -950047, -11780965, -25492, 583044, -78735
2078047477,  1, 5,    10882,        0, 29336, -8823785, -954566, -11821565, -25528, 582909, -78874
2078047493,  1, 5,    10882,        0, 29337, -8819917, -958098, -11793322, -24718, 582605, -78290
2078047510,  1, 5,    10882,        0, 29338, -8804057, -957439, -11751208, -25040, 582670, -78584
2078047527,  1, 5,    10882,        0, 29339, -8809348, -954322, -11803140, -25345, 582910, -78211
2078047544,  1, 5,    10882,        0, 29340, -8823539, -962342, -11791945, -25584, 582902, -78423
2078047561,  1, 5,    10882,        0, 29341, -8825069, -962343, -11802596, -25252, 582728, -78421
2078047577,  1, 5,    10882,        0, 29342, -8818387, -958096, -11782671, -25050, 582779, -78293
2078047594,  1, 5,    10882,        0, 29343, -8820282, -974933, -11792792, -24839, 582598, -78401
2078047611,  1, 5,    10882,        0, 29344, -8830964, -965979, -11812171, -25617, 582573, -78542
2078047628,  1, 5,    10882,        0, 29345, -8825871, -963836, -11833322, -25090, 583028, -78449
2078047645,  1, 5,    10882,        0, 29346, -8817975, -951065, -11760644, -25166, 583437, -78719
2078047661,  1, 5,    10882,        0, 29347, -8810601, -988876, -11803001, -25422, 583193, -78114
2078047678,  1, 5,    10882,        0, 29348, -8816363, -967019, -11822352, -25608, 582856, -78555
2078047695,  1, 5,    10882,        0, 29349, -8834406, -966184, -11781232, -24960, 582595, -78823
2078047712,  1, 5,    10882,        0, 29350, -8833060, -951994, -11812782, -25010, 583461, -78439
2078047728,  1, 5,    10882,        0, 29351, -8826137, -963563, -11842750, -25091, 582838, -78774
2078047745,  1, 5,    10882,        0, 29352, -8825101, -954637, -11781766, -25197, 583109, -78517
2078047762,  1, 5,    10882,        0, 29353, -8830691, -959631, -11843309, -25561, 583156, -78364
2078047779,  1, 5,    10882,        0, 29354, -8809661, -963315, -11833125, -25407, 582912, -78452
2078047796,  1, 5,    10882,        0, 29355, -8810071, -954255, -11834139, -25177, 582637, -78227
2078047812,  1, 5,    10882,        0, 29356, -8803277, -959134, -11812304, -25208, 582961, -78645
2078047829,  1, 5,    10882,        0, 29357, -8825097, -972152, -11853852, -25313, 582927, -78362
2078047846,  1, 5,    10882,        0, 29358, -8825904, -972220, -11833504, -25149, 583026, -78344
2078047863,  1, 5,    10882,        0, 29359, -8816044, -959450, -11843440, -25548, 583055, -78360
2078047880,  1, 5,    10882,        0, 29360, -8831752, -966590, -11822522, -25453, 582678, -78549
2078047896,  1, 5,    10882,        0, 29361, -8811508, -954794, -11801676, -25021, 582922, -78845
2078047913,  1, 5,    10882,        0, 29362, -8831850, -975653, -11802056, -25516, 583053, -78435
2078047930,  1, 5,    10882,        0, 29363, -8806568, -954927, -11811640, -26012, 583263, -78562
2078047947,  1, 5,    10882,        0, 29364, -8824764, -955656, -11844058, -25194, 583122, -78247
2078047963,  1, 5,    10882,        0, 29365, -8819289, -984742, -11813944, -25065, 583071, -78006
2078047980,  1, 5,    10882,        0, 29366, -8831102, -958616, -11854829, -25388, 582689, -78038
2078047997,  1, 5,    10882,        0, 29367, -8822347, -937935, -11833015, -25570, 583007, -78457
2078048014,  1, 5,    10882,        0, 29368, -8816364, -975065, -11832859, -25665, 582664, -78454
2078048031,  1, 5,    10882,        0, 29369, -8809818, -947364, -11834578, -25121, 583214, -78024
2078048047,  1, 5,    10882,        0, 29370, -8824361, -971337, -11802478, -25479, 583005, -78325
2078048064,  1, 5,    10882,        0, 29371, -8825606, -972154, -11834400, -25146, 583027, -78023
2078048081,  1, 5,    10882,        0, 29372, -8809030, -946753, -11824227, -25285, 583109, -78017
2078048098,  1, 5,    10882,        0, 29373, -8823871, -970792, -11791232, -25646, 582898, -78639
2078048115,  1, 5,    10882,        0, 29374, -8825419, -962206, -11760678, -25257, 582910, -78711
2078048131,  1, 5,    10882,        0, 29375, -8809713, -963111, -11792103, -25409, 583095, -78422
2078048148,  1, 5,    10882,        0, 29376, -8833060, -951994, -11812782, -25010, 583461, -78439
2078048165,  1, 5,    10882,        0, 29377, -8816533, -951950, -11844180, -25324, 583353, -78147
2078048182,  1, 5,    10882,        0, 29378, -8810515, -972649, -11833335, -25304, 583204, -78350
2078048199,  1, 5,    10882,        0, 29379, -8816567, -968380, -11854869, -25440, 583159, -77942
2078048215,  1, 5,    10882,        0, 29380, -8831481, -976333, -11874673, -25511, 582878, -78170
2078048232,  1, 5,    10882,        0, 29381, -8844604, -975088, -11812817, -25854, 582952, -78129
2078048249,  1, 5,    10882,        0, 29382, -8816553, -959453, -11823988, -25381, 583155, -78021
2078048266,  1, 5,    10882,        0, 29383, -8818652, -949778, -11781593, -24994, 582780, -78718
2078048282,  1, 5,    10882,        0, 29384, -8816488, -958775, -11844636, -25377, 582777, -78030
2078048299,  1, 5,    10882,        0, 29385, -8816905, -975406, -11803083, -25500, 582954, -78111
2078048316,  1, 5,    10882,        0, 29386, -8811176, -946344, -11802389, -24959, 582926, -78630
2078048333,  1, 5,    10882,        0, 29387, -8823187, -946388, -11812850, -25465, 583104, -78334
2078048350,  1, 5,    10882,        0, 29388, -8848377, -975697, -11770659, -25202, 583162, -78726
2078048366,  1, 5,    10882,        0, 29389, -8833378, -959563, -11791695, -25070, 583262, -78633
2078048383,  1, 5,    10882,        0, 29390, -8816031, -958569, -11823065, -25546, 582860, -78339
2078048400,  1, 5,    10882,        0, 29391, -8827703, -946388, -11770992, -24645, 583035, -78921
2078048417,  1, 5,    10882,        0, 29392, -8825167, -963360, -11771624, -25258, 583295, -78407
2078048434,  1, 5,    10882,        0, 29393, -8824466, -955590, -11844954, -25191, 583124, -77927
2078048450,  1, 5,    10882,        0, 29394, -8818447, -968244, -11823602, -25113, 583166, -78230
2078048467,  1, 5,    10882,        0, 29395, -8818334, -950254, -11813187, -24991, 582787, -78423
2078048484,  1, 5,    10882,        0, 29396, -8813362, -950048, -11833474, -25980, 582939, -78145
2078048501,  1, 5,    10882,        0, 29397, -8823346, -946528, -11835316, -25293, 583023, -77704
2078048517,  1, 5,    10882,        0, 29398, -8801396, -951224, -11833064, -25478, 583145, -78457
2078048534,  1, 5,    10882,        0, 29399, -8802993, -967995, -11844081, -25264, 582966, -78245
2078048551,  1, 5,    10882,        0, 29400, -8795458, -962459, -11834452, -25223, 582534, -78119
2078048568,  1, 5,    10882,        0, 29401, -8815291, -975269, -11843778, -25828, 582756, -78148
2078048585,  1, 5,    10882,        0, 29402, -8830663, -949822, -11792053, -25500, 582957, -78422
2078048601,  1, 5,    10882,        0, 29403, -8817361, -967567, -11814147, -25274, 583063, -77902
2078048618,  1, 5,    10882,        0, 29404, -8825103, -970728, -11802779, -25311, 582726, -78316
2078048635,  1, 5,    10882,        0, 29405, -8817313, -950255, -11783083, -25156, 583062, -78087
2078048652,  1, 5,    10882,        0, 29406, -8817188, -958500, -11760800, -25387, 583140, -78611
2078048669,  1, 5,    10882,        0, 29407, -8811651, -937962, -11782755, -24733, 583029, -78396
2078048685,  1, 5,    10882,        0, 29408, -8832544, -957732, -11771293, -25230, 582773, -78610
2078048702,  1, 5,    10882,        0, 29409, -8816792, -957417, -11792667, -25378, 582575, -78304
2078048719,  1, 5,    10882,        0, 29410, -8825525, -954504, -11813660, -25026, 582837, -78212
2078048736,  1, 5,    10882,        0, 29411, -8809601, -953167, -11792194, -25344, 582525, -78515
2078048752,  1, 5,    10882,        0, 29412, -8826366, -962957, -11793495, -24921, 582934, -78089
2078048769,  1, 5,    10882,        0, 29413, -8824227, -937799, -11801748, -25243, 583015, -78745
2078048786,  1, 5,    10882,        0, 29414, -8818387, -958096, -11782671, -25050, 582779, -78293
2078048803,  1, 5,    10882,        0, 29415, -8814923, -942343, -11823295, -25593, 583145, -78238
2078048820,  1, 5,    10882,        0, 29416, -8818068, -950527, -11803758, -24990, 582978, -78098
2078048836,  1, 5,    10882,        0, 29417, -8808812, -944511, -11771336, -25451, 582611, -78609
2078048853,  1, 5,    10882,        0, 29418, -8809665, -945800, -11761039, -25291, 583094, -78607
2078048870,  1, 5,    10882,        0, 29419, -8840065, -954341, -11750041, -25213, 583202, -78815
2078048887,  1, 5,    10882,        0, 29420, -8817896, -949506, -11760918, -25160, 582864, -78707
2078048904,  1, 5,    10882,        0, 29421, -8813090, -962638, -11781812, -24748, 582740, -78712
2078048920,  1, 5,    10882,        0, 29422, -8847271, -967517, -11781395, -25306, 583256, -78525
2078048937,  1, 5,    10882,        0, 29423, -8816904, -967361, -11792576, -25443, 583145, -78211
2078048954,  1, 5,    10882,        0, 29424, -8826221, -963698, -11791404, -25095, 583210, -78739
2078048971,  1, 5,    10882,        0, 29425, -8808812, -944511, -11771336, -25451, 582611, -78609
2078048987,  1, 5,    10882,        0, 29426, -8817911, -958433, -11791799, -25219, 582867, -78627
2078049004,  1, 5,    10882,        0, 29427, -8839496, -964017, -11803087, -25268, 583404, -78116
2078049021,  1, 5,    10882,        0, 29428, -8823380, -962958, -11846005, -25409, 582829, -77499
2078049038,  1, 5,    10882,        0, 29429, -8816097, -967292, -11812924, -25607, 583046, -78230
2078049055,  1, 5,    10882,        0, 29430, -8830730, -966591, -11792418, -25618, 582952, -78212
2078049071,  1, 5,    10882,        0, 29431, -8817626, -959248, -11813069, -25218, 583064, -78328
2078049088,  1, 5,    10882,        0, 29432, -8818433, -959317, -11792721, -25054, 583163, -78309
2078049105,  1, 5,    10882,        0, 29433, -8825070, -970389, -11813103, -25309, 582537, -78320
2078049122,  1, 5,    10882,        0, 29434, -8824464, -939499, -11823941, -25077, 583507, -78128
2078049139,  1, 5,    10882,        0, 29435, -8816884, -959858, -11812768, -25386, 583343, -78337
2078049155,  1, 5,    10882,        0, 29436, -8810990, -964267, -11813700, -25078, 583307, -78116
2078049172,  1, 5,    10882,        0, 29437, -8810059, -980489, -11822271, -25530, 583095, -78558
2078049189,  1, 5,    10882,        0, 29438, -8826287, -972422, -11781262, -25156, 583396, -78630
2078049206,  1, 5,    10882,        0, 29439, -8825187, -970863, -11751432, -25315, 583098, -78281
2078049223,  1, 5,    10882,        0, 29440, -8832274, -967474, -11823444, -25288, 582973, -78231
2078049239,  1, 5,    10882,        0, 29441, -8822539, -946460, -11855663, -25457, 582924, -77723
2078049256,  1, 5,    10882,        0, 29442, -8831784, -966929, -11812198, -25455, 582867, -78544
2078049273,  1, 5,    10882,        0, 29443, -8810216, -964538, -11823724, -25244, 583397, -78130
2078049290,  1, 5,    10882,        0, 29444, -8809632, -945461, -11771363, -25289, 582905, -78611
2078049306,  1, 5,    10882,        0, 29445, -8810877, -946278, -11803285, -24956, 582928, -78309
2078049323,  1, 5,    10882,        0, 29446, -8814971, -959655, -11854359, -25711, 583146, -78054
2078049340,  1, 5,    10882,        0, 29447, -8810151, -963860, -11844372, -25240, 583019, -78139
2078049357,  1, 5,    10882,        0, 29448, -8816098, -975338, -11823430, -25664, 582855, -78129
2078049374,  1, 5,    10882,        0, 29449, -8795537, -972064, -11844685, -25286, 582915, -78030
2078049390,  1, 5,    10882,        0, 29450, -8801542, -958528, -11845662, -25361, 582678, -77706
2078049407,  1, 5,    10882,        0, 29451, -8818751, -966886, -11771634, -25114, 582964, -78504
2078049424,  1, 5,    10882,        0, 29452, -8803331, -975021, -11792295, -25324, 582761, -78414
2078049441,  1, 5,    10882,        0, 29453, -8800329, -950005, -11792910, -25639, 583036, -78104
2078049458,  1, 5,    10882,        0, 29454, -8811673, -980626, -11781576, -25202, 583293, -78521
2078049474,  1, 5,    10882,        0, 29455, -8818115, -959793, -11824315, -25051, 583170, -78014
2078049491,  1, 5,    10882,        0, 29456, -8819904, -976286, -11770948, -25014, 583254, -78722
2078049508,  1, 5,    10882,        0, 29457, -8817989, -959992, -11791525, -25225, 583440, -78639
2078049525,  1, 5,    10882,        0, 29458, -8810804, -954319, -11739979, -25189, 583189, -78804
2078049541,  1, 5,    10882,        0, 29459, -8816064, -966953, -11823248, -25605, 582857, -78234
2078049558,  1, 5,    10882,        0, 29460, -8817658, -959587, -11802745, -25220, 583253, -78323
2078049575,  1, 5,    10882,        0, 29461, -8818686, -966208, -11792282, -25110, 582586, -78513
2078049592,  1, 5,    10882,        0, 29462, -8838300, -988557, -11812736, -25776, 583191, -78133
2078049609,  1, 5,    10882,        0, 29463, -8810501, -963722, -11802454, -25245, 583200, -78429
2078049625,  1, 5,    10882,        0, 29464, -8824342, -971880, -11833177, -25479, 583011, -78351
2078049642,  1, 5,    10882,        0, 29465, -8834220, -976062, -11782036, -25022, 583167, -78409
2078049659,  1, 5,    10882,        0, 29466, -8830744, -967473, -11812793, -25620, 583147, -78233
2078049676,  1, 5,    10882,        0, 29467, -8831471, -957936, -11782212, -25393, 582865, -78303
2078049693,  1, 5,    10882,        0, 29468, -8819621, -993193, -11813231, -25127, 583067, -78221
2078049709,  1, 5,    10882,        0, 29469, -8816759, -957078, -11802991, -25376, 582386, -78309
2078049726,  1, 5,    10882,        0, 29470, -8839431, -963339, -11823735, -25264, 583026, -78125
