Time, Mask, Bat, Sts1, Sts2, Seq #,T1FX,T1FY,T1FZ,T1TX,T1TY,T1TZ
2078044892,  1, 5,    10882,        0, 29182, -8832609, -958410, -11750645, -25234, 583151, -78601
2078044908,  1, 5,    10882,        0, 29183, -8817547, -957689, -11813342, -25212, 582491, -78316
2078044925,  1, 5,    10882,        0, 29184, -8823048, -945706, -11759685, -25637, 583179, -78938
2078044942,  1, 5,    10882,        0, 29185, -8823519, -954839, -11812137, -25527, 583100, -78549
2078044959,  1, 5,    10882,        0, 29186, -8826299, -946188, -11793130, -24803, 582939, -78299
2078044975,  1, 5,    10882,        0, 29187, -8831486, -966863, -11813093, -25452, 582868, -78224
2078044992,  1, 5,    10882,        0, 29188, -8831835, -958680, -11760669, -25400, 583241, -78615
2078045009,  1, 5,    10882,        0, 29189, -8840014, -954544, -11791063, -25211, 583019, -78845
2078045026,  1, 5,    10882,        0, 29190, -8825399, -954703, -11780870, -25200, 583107, -78837
2078045043,  1, 5,    10882,        0, 29191, -8824770, -954232, -11792985, -25192, 582921, -78201
2078045059,  1, 5,    10882,        0, 29192, -8805281, -942708, -11792815, -24593, 583082, -78509
2078045076,  1, 5,    10882,        0, 29193, -8840080, -963268, -11780922, -25272, 583206, -78736
2078045093,  1, 5,    10882,        0, 29194, -8830995, -958273, -11791340, -25562, 582953, -78638
2078045110,  1, 5,    10882,        0, 29195, -8831750, -950499, -11801509, -25339, 583061, -78750
2078045127,  1, 5,    10882,        0, 29196, -8819288, -976697, -11803437, -25008, 583263, -78106
2078045143,  1, 5,    10882,        0, 29197, -8818214, -949029, -11729324, -25163, 582856, -79002
2078045160,  1, 5,    10882,        0, 29198, -8824599, -961256, -11760651, -25419, 582616, -78709
2078045177,  1, 5,    10882,        0, 29199, -8825512, -953622, -11793286, -25024, 582642, -78191
2078045194,  1, 5,    10882,        0, 29200, -8817274, -943295, -11833974, -25099, 583265, -78238
2078045210,  1, 5,    10882,        0, 29201, -8831888, -943136, -11844167, -25110, 583177, -78246
2078045227,  1, 5,    10882,        0, 29202, -8815559, -949436, -11770614, -25656, 582939, -78728
2078045244,  1, 5,    10882,        0, 29203, -8831449, -934342, -11781391, -25222, 583445, -78630
2078045261,  1, 5,    10882,        0, 29204, -8810896, -945735, -11772586, -24956, 582922, -78284
2078045278,  1, 5,    10882,        0, 29205, -8826549, -928942, -11761171, -24688, 582936, -78804
2078045294,  1, 5,    10882,        0, 29206, -8819976, -960200, -11823747, -24724, 583184, -78328
2078045311,  1, 5,    10882,        0, 29207, -8838642, -954683, -11802878, -25371, 583112, -78218
